text,f3352321,f3352310,f3352311,f3352316,f3352318,f3352314,f3352315,f3352301,f3352308,f3352307
Πλέει τ' όνομα εις τον νου μου,1,1.0,15,15,5,4,10,3,8,47
Η καμήλα εγ κουτσανίσκει που ταφτίν,1,1.0,1,11,6,3,2,4,6,19
Αρχίντσεν τα παρδαλά,1,5.0,13,9,5,8,10,1,1,36
Απόξω κούκλα κι' από μέσα πανούκλα,3,5.0,10,12,2,7,7,3,1,15
Είχα το παιδί κι είχα τη χαρά κι έψηνα του πέντ' αυγά κι έτρωγα τα τέσσερα και το μισό κι απου το μισό τ' άλλο μισό πόσο 'τρωε το παιδίν;,1,-1.0,8,15,6,4,7,5,8,13
Εσηκώθηκ' η Νοθιά με τα παιδογγονά τζη,1,-1.0,6,14,6,4,7,7,6,50
"Βούρλα μού δώνεις, ψαθί σού πλέκω",1,1.0,8,9,6,8,1,3,8,37
"Ξερό ψωμί, καλή καρδιά, φέρνουν ζωή και νιάτα, όχι περόνια ολόχ' σα τσαί ασημένια πιάτα",2,1.0,8,5,1,9,3,5,2,7
"Τέτοιου τσιφάλ', τέτοια θέλ'",1,5.0,17,2,6,8,10,3,2,50
Τουν γιλάει ου καθρέφτ'ς,1,5.0,8,2,6,7,4,1,1,48
"Όπου ακούσης μέγα τρύγος, παίρνε μικρό καλάθι",2,2.0,8,17,3,2,10,3,2,38
"Σκυλλί γαυγίζει, καρ'βαν πιρνα",2,2.0,1,11,6,2,1,4,2,16
Τη δουλειά σου και το όργο σου ψηλά,2,2.0,5,8,6,1,7,2,2,12
"Όποιο δάχτυλο να κόψω, πονεί",1,1.0,12,14,6,3,2,3,2,41
"Τα γέλοια με τα κλάμματα, με τη χαρά κ' η πίκρα",1,1.0,7,5,6,2,10,3,4,45
Γερεύει να κρουφτεί πιστ' απ' το δάχτ'λά του,1,5.0,12,17,6,8,2,3,1,46
Τα λό(γ)ια των πολλώ κάνουν τον άθθρωπο λωλλόν,3,2.0,16,9,6,9,10,3,4,17
Πε ξένα κόλλ'βα φκιάν' μνημόσυνο,4,5.0,6,17,5,8,8,9,4,44
Αναθεμα ποιός δούλευε τρία καλά Σαββάτα της τυρινής Κρεατινής και των Αγίων Θοδώρων,4,4.0,3,6,6,6,7,2,7,17
Αχάριστον (τ) χάρη μη κάνεις,2,2.0,16,17,2,2,3,3,2,43
Στίβει την πέτρα και βγάνει ζουμί,1,1.0,8,8,2,8,10,3,1,37
Είναι Ζαρκοπαφίλλης,3,5.0,16,50,6,8,9,3,6,50
Γονιού ευχή αγόραζε και στο βουνό κατοίκα,2,2.0,6,14,6,2,3,7,1,42
"Σαράντα καλόγεροι, ο καθένας με τον πόνο τ'",4,1.0,7,2,5,6,10,6,1,17
Θέλει κι ο Μούτσιος καφέ!,1,5.0,8,50,6,8,1,5,1,4
Ξέρεις και συ που πάει του χωριού η αγγέλη,1,5.0,17,2,6,4,7,4,4,3
Επήα να κόψω τ' αυτιά και 'βαλα και κέρατα,1,5.0,12,18,6,3,10,1,5,38
Απού βράσει τζαί στεγνώσει εν έν τίποτε,1,1.0,17,18,6,4,7,1,4,42
